tournament,year,team,matches_played,wins,goals_for,goals_conceded,stage
gold cup,2007,Guadeloupe,5,2,5,5,Semi-Finalist
gold cup,2007,Costa Rica,4,1,3,4,Quarter-Finalist
gold cup,2007,Guatemala,4,1,2,5,Quarter-Finalist
gold cup,2007,Honduras,4,2,10,6,Quarter-Finalist
gold cup,2007,Panama,4,1,6,7,Quarter-Finalist
gold cup,2007,Cuba,3,0,3,9,Round of 16
gold cup,2007,El Salvador,3,1,2,6,Round of 16
gold cup,2007,Haiti,3,0,2,4,Round of 16
gold cup,2007,Trinidad and Tobago,3,0,2,5,Round of 16
african cup of nations,2008,Egypt,6,5,15,5,Champion
african cup of nations,2008,Cameroon,6,4,14,8,Runner-up
african cup of nations,2008,Ghana,6,5,11,5,Semi-Finalist
african cup of nations,2008,Ivory Coast,6,4,16,9,Semi-Finalist
african cup of nations,2008,Angola,4,1,5,4,Quarter-Finalist
african cup of nations,2008,Guinea,4,1,5,10,Quarter-Finalist
african cup of nations,2008,Nigeria,4,1,3,3,Quarter-Finalist
african cup of nations,2008,Tunisia,4,1,7,6,Quarter-Finalist
african cup of nations,2008,Benin,3,0,1,7,Round of 16
african cup of nations,2008,Mali,3,1,1,3,Round of 16
african cup of nations,2008,Morocco,3,1,7,6,Round of 16
african cup of nations,2008,Namibia,3,0,2,7,Round of 16
african cup of nations,2008,Senegal,3,0,4,6,Round of 16
african cup of nations,2008,South Africa,3,0,3,5,Round of 16
african cup of nations,2008,Sudan,3,0,0,9,Round of 16
african cup of nations,2008,Zambia,3,1,5,6,Round of 16
uefa euro,2008,Spain,6,5,12,3,Champion
uefa euro,2008,Germany,6,4,10,7,Runner-up
uefa euro,2008,Russia,5,3,7,8,Semi-Finalist
uefa euro,2008,Turkey,5,2,8,9,Semi-Finalist
uefa euro,2008,Croatia,4,3,5,2,Quarter-Finalist
uefa euro,2008,Italy,4,1,3,4,Quarter-Finalist
uefa euro,2008,Netherlands,4,3,10,4,Quarter-Finalist
uefa euro,2008,Portugal,4,2,7,6,Quarter-Finalist
uefa euro,2008,Austria,3,0,1,3,Round of 16
uefa euro,2008,Czech Republic,3,1,4,6,Round of 16
uefa euro,2008,France,3,0,1,6,Round of 16
uefa euro,2008,Greece,3,0,1,5,Round of 16
uefa euro,2008,Poland,3,0,1,4,Round of 16
uefa euro,2008,Romania,3,0,1,3,Round of 16
uefa euro,2008,Sweden,3,1,3,4,Round of 16
uefa euro,2008,Switzerland,3,1,3,3,Round of 16
gold cup,2009,Mexico,6,4,15,2,Champion
gold cup,2009,United States,6,4,12,8,Runner-up
gold cup,2009,Costa Rica,5,2,10,6,Semi-Finalist
gold cup,2009,Honduras,5,3,6,4,Semi-Finalist
gold cup,2009,Canada,4,2,4,3,Quarter-Finalist
gold cup,2009,Guadeloupe,4,2,5,8,Quarter-Finalist
gold cup,2009,Haiti,4,1,4,7,Quarter-Finalist
gold cup,2009,Panama,4,1,7,5,Quarter-Finalist
gold cup,2009,El Salvador,3,1,2,3,Round of 16
gold cup,2009,Grenada,3,0,0,10,Round of 16
gold cup,2009,Jamaica,3,1,1,2,Round of 16
gold cup,2009,Nicaragua,3,0,0,8,Round of 16
fifa world cup,2010,Spain,7,6,8,2,Champion
fifa world cup,2010,Netherlands,7,6,12,6,Runner-up
fifa world cup,2010,Germany,7,5,16,5,Semi-Finalist
fifa world cup,2010,Uruguay,7,3,11,8,Semi-Finalist
fifa world cup,2010,Argentina,5,4,10,6,Quarter-Finalist
fifa world cup,2010,Brazil,5,3,9,4,Quarter-Finalist
fifa world cup,2010,Ghana,5,2,5,4,Quarter-Finalist
fifa world cup,2010,Paraguay,5,1,3,2,Quarter-Finalist
fifa world cup,2010,Chile,4,2,3,5,Round of 16
fifa world cup,2010,England,4,1,3,5,Round of 16
fifa world cup,2010,Japan,4,2,4,2,Round of 16
fifa world cup,2010,Mexico,4,1,4,5,Round of 16
fifa world cup,2010,Portugal,4,1,7,1,Round of 16
fifa world cup,2010,Slovakia,4,1,5,7,Round of 16
fifa world cup,2010,South Korea,4,1,6,8,Round of 16
fifa world cup,2010,United States,4,1,5,5,Round of 16
fifa world cup,2010,Algeria,3,0,0,2,Group Stage
fifa world cup,2010,Australia,3,1,3,6,Group Stage
fifa world cup,2010,Cameroon,3,0,2,5,Group Stage
fifa world cup,2010,Denmark,3,1,3,6,Group Stage
fifa world cup,2010,France,3,0,1,4,Group Stage
fifa world cup,2010,Greece,3,1,2,5,Group Stage
fifa world cup,2010,Honduras,3,0,0,3,Group Stage
fifa world cup,2010,Italy,3,0,4,5,Group Stage
fifa world cup,2010,Ivory Coast,3,1,4,3,Group Stage
fifa world cup,2010,New Zealand,3,0,2,2,Group Stage
fifa world cup,2010,Nigeria,3,0,3,5,Group Stage
fifa world cup,2010,North Korea,3,0,1,12,Group Stage
fifa world cup,2010,Serbia,3,1,2,3,Group Stage
fifa world cup,2010,Slovenia,3,1,3,3,Group Stage
fifa world cup,2010,South Africa,3,1,3,5,Group Stage
fifa world cup,2010,Switzerland,3,1,1,1,Group Stage
afc asian cup,2011,Japan,6,4,14,6,Champion
afc asian cup,2011,Australia,6,4,13,2,Runner-up
afc asian cup,2011,South Korea,6,4,13,7,Semi-Finalist
afc asian cup,2011,Uzbekistan,6,3,10,13,Semi-Finalist
afc asian cup,2011,Iran,4,3,6,2,Quarter-Finalist
afc asian cup,2011,Iraq,4,2,3,3,Quarter-Finalist
afc asian cup,2011,Jordan,4,2,5,4,Quarter-Finalist
afc asian cup,2011,Qatar,4,2,7,5,Quarter-Finalist
afc asian cup,2011,Bahrain,3,1,6,5,Round of 16
afc asian cup,2011,China PR,3,1,4,4,Round of 16
afc asian cup,2011,India,3,0,3,13,Round of 16
afc asian cup,2011,Kuwait,3,0,1,7,Round of 16
afc asian cup,2011,North Korea,3,0,0,2,Round of 16
afc asian cup,2011,Saudi Arabia,3,0,1,8,Round of 16
afc asian cup,2011,Syria,3,1,4,5,Round of 16
afc asian cup,2011,United Arab Emirates,3,0,0,4,Round of 16
copa américa,2011,Uruguay,6,3,9,3,Champion
copa américa,2011,Paraguay,6,0,5,8,Runner-up
copa américa,2011,Peru,6,3,8,5,Semi-Finalist
copa américa,2011,Venezuela,6,2,7,8,Semi-Finalist
copa américa,2011,Argentina,4,1,5,2,Quarter-Finalist
copa américa,2011,Brazil,4,1,6,4,Quarter-Finalist
copa américa,2011,Chile,4,2,5,4,Quarter-Finalist
copa américa,2011,Colombia,4,2,3,2,Quarter-Finalist
copa américa,2011,Bolivia,3,0,1,5,Round of 16
copa américa,2011,Costa Rica,3,1,2,4,Round of 16
copa américa,2011,Ecuador,3,0,2,5,Round of 16
copa américa,2011,Mexico,3,0,1,4,Round of 16
gold cup,2011,Mexico,6,6,22,4,Champion
gold cup,2011,United States,6,4,9,6,Runner-up
gold cup,2011,Honduras,5,1,8,5,Semi-Finalist
gold cup,2011,Panama,5,2,7,6,Semi-Finalist
gold cup,2011,Costa Rica,4,1,8,6,Quarter-Finalist
gold cup,2011,El Salvador,4,1,8,8,Quarter-Finalist
gold cup,2011,Guatemala,4,1,5,4,Quarter-Finalist
gold cup,2011,Jamaica,4,3,7,2,Quarter-Finalist
gold cup,2011,Canada,3,1,2,3,Round of 16
gold cup,2011,Cuba,3,0,1,16,Round of 16
gold cup,2011,Grenada,3,0,1,15,Round of 16
gold cup,2011,Guadeloupe,3,0,2,5,Round of 16
african cup of nations,2012,Zambia,6,4,9,3,Champion
african cup of nations,2012,Ivory Coast,6,5,9,0,Runner-up
african cup of nations,2012,Ghana,6,3,6,5,Semi-Finalist
african cup of nations,2012,Mali,6,3,6,5,Semi-Finalist
african cup of nations,2012,Equatorial Guinea,4,2,3,5,Quarter-Finalist
african cup of nations,2012,Gabon,4,3,7,3,Quarter-Finalist
african cup of nations,2012,Sudan,4,1,4,7,Quarter-Finalist
african cup of nations,2012,Tunisia,4,2,5,5,Quarter-Finalist
african cup of nations,2012,Angola,3,1,4,5,Round of 16
african cup of nations,2012,Botswana,3,0,2,9,Round of 16
african cup of nations,2012,Burkina Faso,3,0,2,6,Round of 16
african cup of nations,2012,Guinea,3,1,7,3,Round of 16
african cup of nations,2012,Libya,3,1,4,4,Round of 16
african cup of nations,2012,Morocco,3,1,4,5,Round of 16
african cup of nations,2012,Niger,3,0,1,5,Round of 16
african cup of nations,2012,Senegal,3,0,3,6,Round of 16
uefa euro,2012,Spain,6,4,12,1,Champion
uefa euro,2012,Italy,6,2,6,7,Runner-up
uefa euro,2012,Germany,5,4,10,6,Semi-Finalist
uefa euro,2012,Portugal,5,3,6,4,Semi-Finalist
uefa euro,2012,Czech Republic,4,2,4,6,Quarter-Finalist
uefa euro,2012,England,4,2,5,3,Quarter-Finalist
uefa euro,2012,France,4,1,3,5,Quarter-Finalist
uefa euro,2012,Greece,4,1,5,7,Quarter-Finalist
uefa euro,2012,Croatia,3,1,4,3,Round of 16
uefa euro,2012,Denmark,3,1,4,5,Round of 16
uefa euro,2012,Netherlands,3,0,2,5,Round of 16
uefa euro,2012,Poland,3,0,2,3,Round of 16
uefa euro,2012,Republic of Ireland,3,0,1,9,Round of 16
uefa euro,2012,Russia,3,1,5,3,Round of 16
uefa euro,2012,Sweden,3,1,5,5,Round of 16
uefa euro,2012,Ukraine,3,1,2,4,Round of 16
african cup of nations,2013,Nigeria,6,4,11,4,Champion
african cup of nations,2013,Burkina Faso,6,2,7,3,Runner-up
african cup of nations,2013,Ghana,6,3,10,6,Semi-Finalist
african cup of nations,2013,Mali,6,2,7,8,Semi-Finalist
african cup of nations,2013,Cape Verde,4,1,3,4,Quarter-Finalist
african cup of nations,2013,Ivory Coast,4,2,8,5,Quarter-Finalist
african cup of nations,2013,South Africa,4,1,5,3,Quarter-Finalist
african cup of nations,2013,Togo,4,1,4,4,Quarter-Finalist
african cup of nations,2013,Algeria,3,0,2,5,Round of 16
african cup of nations,2013,Angola,3,0,1,4,Round of 16
african cup of nations,2013,DR Congo,3,0,3,3,Round of 16
african cup of nations,2013,Ethiopia,3,0,1,7,Round of 16
african cup of nations,2013,Morocco,3,0,3,3,Round of 16
african cup of nations,2013,Niger,3,0,0,4,Round of 16
african cup of nations,2013,Tunisia,3,1,2,4,Round of 16
african cup of nations,2013,Zambia,3,0,2,2,Round of 16
gold cup,2013,United States,6,6,20,4,Champion
gold cup,2013,Panama,6,4,11,4,Runner-up
gold cup,2013,Honduras,5,3,5,5,Semi-Finalist
gold cup,2013,Mexico,5,3,8,5,Semi-Finalist
gold cup,2013,Costa Rica,4,2,4,2,Quarter-Finalist
gold cup,2013,Cuba,4,1,6,13,Quarter-Finalist
gold cup,2013,El Salvador,4,1,4,8,Quarter-Finalist
gold cup,2013,Trinidad and Tobago,4,1,4,5,Quarter-Finalist
gold cup,2013,Belize,3,0,1,11,Round of 16
gold cup,2013,Canada,3,0,0,3,Round of 16
gold cup,2013,Haiti,3,1,2,3,Round of 16
gold cup,2013,Martinique,3,1,2,4,Round of 16
fifa world cup,2014,Germany,7,6,18,4,Champion
fifa world cup,2014,Argentina,7,5,8,4,Runner-up
fifa world cup,2014,Brazil,7,3,11,14,Semi-Finalist
fifa world cup,2014,Netherlands,7,5,15,4,Semi-Finalist
fifa world cup,2014,Belgium,5,4,6,3,Quarter-Finalist
fifa world cup,2014,Colombia,5,4,12,4,Quarter-Finalist
fifa world cup,2014,Costa Rica,5,2,5,2,Quarter-Finalist
fifa world cup,2014,France,5,3,10,3,Quarter-Finalist
fifa world cup,2014,Algeria,4,1,7,7,Round of 16
fifa world cup,2014,Chile,4,2,6,4,Round of 16
fifa world cup,2014,Greece,4,1,3,5,Round of 16
fifa world cup,2014,Mexico,4,2,5,3,Round of 16
fifa world cup,2014,Nigeria,4,1,3,5,Round of 16
fifa world cup,2014,Switzerland,4,2,7,7,Round of 16
fifa world cup,2014,United States,4,1,5,6,Round of 16
fifa world cup,2014,Uruguay,4,2,4,6,Round of 16
fifa world cup,2014,Australia,3,0,3,9,Group Stage
fifa world cup,2014,Bosnia and Herzegovina,3,1,4,4,Group Stage
fifa world cup,2014,Cameroon,3,0,1,9,Group Stage
fifa world cup,2014,Croatia,3,1,6,6,Group Stage
fifa world cup,2014,Ecuador,3,1,3,3,Group Stage
