tournament,year,team,group
african cup of nations,2019,Cameroon,F
african cup of nations,2019,Ghana,F
african cup of nations,2019,Guinea-Bissau,F
copa américa,2019,Bolivia,A
copa américa,2019,Brazil,A
copa américa,2019,Peru,A
copa américa,2019,Venezuela,A
copa américa,2019,Argentina,B
copa américa,2019,Colombia,B
copa américa,2019,Paraguay,B
copa américa,2019,Qatar,B
copa américa,2019,Chile,C
copa américa,2019,Ecuador,C
copa américa,2019,Japan,C
copa américa,2019,Uruguay,C
gold cup,2019,Canada,A
gold cup,2019,Cuba,A
gold cup,2019,Martinique,A
gold cup,2019,Mexico,A
gold cup,2019,Bermuda,B
gold cup,2019,Costa Rica,B
gold cup,2019,Haiti,B
gold cup,2019,Nicaragua,B
gold cup,2019,Curaçao,C
gold cup,2019,El Salvador,C
gold cup,2019,Honduras,C
gold cup,2019,Jamaica,C
gold cup,2019,Guyana,D
gold cup,2019,Panama,D
gold cup,2019,Trinidad and Tobago,D
gold cup,2019,United States,D
copa américa,2021,Brazil,A
copa américa,2021,Venezuela,B
copa américa,2021,Colombia,C
copa américa,2021,Ecuador,C
copa américa,2021,Argentina,D
copa américa,2021,Chile,E
copa américa,2021,Uruguay,E
copa américa,2021,Paraguay,F
copa américa,2021,Bolivia,G
copa américa,2021,Peru,H
gold cup,2021,El Salvador,A
gold cup,2021,Guatemala,A
gold cup,2021,Mexico,A
gold cup,2021,Trinidad and Tobago,A
gold cup,2021,Canada,B
gold cup,2021,Haiti,B
gold cup,2021,Martinique,B
gold cup,2021,United States,B
gold cup,2021,Costa Rica,C
gold cup,2021,Guadeloupe,C
gold cup,2021,Jamaica,C
gold cup,2021,Suriname,C
gold cup,2021,Grenada,D
gold cup,2021,Honduras,D
gold cup,2021,Panama,D
gold cup,2021,Qatar,D
uefa euro,2021,Italy,A
uefa euro,2021,Switzerland,A
uefa euro,2021,Turkey,A
uefa euro,2021,Wales,A
uefa euro,2021,Belgium,B
uefa euro,2021,Denmark,B
uefa euro,2021,Finland,B
uefa euro,2021,Russia,B
uefa euro,2021,Austria,C
uefa euro,2021,Netherlands,C
uefa euro,2021,North Macedonia,C
uefa euro,2021,Ukraine,C
uefa euro,2021,Croatia,D
uefa euro,2021,Czech Republic,D
uefa euro,2021,England,D
uefa euro,2021,Scotland,D
uefa euro,2021,Poland,E
uefa euro,2021,Slovakia,E
uefa euro,2021,Spain,E
uefa euro,2021,Sweden,E
uefa euro,2021,France,F
uefa euro,2021,Germany,F
uefa euro,2021,Hungary,F
uefa euro,2021,Portugal,F
african cup of nations,2022,Burkina Faso,A
african cup of nations,2022,Cameroon,A
african cup of nations,2022,Cape Verde,A
african cup of nations,2022,Ethiopia,A
african cup of nations,2022,Guinea,B
african cup of nations,2022,Malawi,B
african cup of nations,2022,Senegal,B
african cup of nations,2022,Zimbabwe,B
african cup of nations,2022,Comoros,C
african cup of nations,2022,Gabon,C
african cup of nations,2022,Ghana,C
african cup of nations,2022,Morocco,C
african cup of nations,2022,Egypt,D
african cup of nations,2022,Guinea-Bissau,D
african cup of nations,2022,Nigeria,D
african cup of nations,2022,Sudan,D
african cup of nations,2022,Algeria,E
african cup of nations,2022,Equatorial Guinea,E
african cup of nations,2022,Ivory Coast,E
african cup of nations,2022,Sierra Leone,E
african cup of nations,2022,Gambia,F
african cup of nations,2022,Mali,F
african cup of nations,2022,Mauritania,F
african cup of nations,2022,Tunisia,F
fifa world cup,2022,Ecuador,A
fifa world cup,2022,Netherlands,A
fifa world cup,2022,Qatar,A
fifa world cup,2022,Senegal,A
fifa world cup,2022,England,B
fifa world cup,2022,Iran,B
fifa world cup,2022,United States,B
fifa world cup,2022,Wales,B
fifa world cup,2022,Argentina,C
fifa world cup,2022,Mexico,C
fifa world cup,2022,Poland,C
